Dane zawodnika,Pozycja,Gole,Asysty
Krzysztof Niedobecki,Goalkeeper,0,0
Mateusz Brzuchański,Forward,0,0
Kacper Tomczak,Forward,0,0
Arkadiusz Bartyzel,Midfielder,1,0
Adam Kwidziński,Midfielder,4,2
Paweł Rendak,Forward,0,0
Marek Ziober,Midfielder,0,1
Gabriel Zadroga,Forward,0,0
Remigiusz Kuczer,Defender,0,0
Nikodem Chylaszek,Forward,0,1
Jan Hachuła,,0,0
Michał Młynek,Midfielder,0,0
Krzysztof Kilian,Midfielder,1,1
Tomasz Piotrowski,Defender,1,2
Jakub Małek,Midfielder,0,0
Szymon Włodarski,Defender,0,0
Janusz Sternal,Midfielder,2,0
